Manufacturer,Fuel Type,Number of vehicles,OBFCM Fuel consumption (l/100 km),WLTP Fuel consumption (l/100 km),absolute gap Fuel consumption (l/100 km),percentage gap Fuel consumption (%),OBFCM CO2 emissions (g/km),WLTP CO2 emissions (g/km),absolute gap CO2 emissions (g/km),percentage gap CO2 emissions (%),OBFCM Fuel consumption weighted (l/100 km),WLTP Fuel consumption weighted (l/100 km),absolute gap Fuel consumption weighted (l/100 km),percentage gap Fuel consumption weighted (%),OBFCM CO2 emissions weighted (g/km),WLTP CO2 emissions weighted (g/km),absolute gap CO2 emissions weighted (g/km),percentage gap CO2 emissions weighted (%)
BMW AG,DIESEL,1,6.96,6.04,0.92,15.18,183.13,159,24.13,15.18,6.96,6.04,0.92,15.18,183.13,159,24.13,15.18
CHRYSLER,PETROL,5,8.29,6.59,1.69,25.68,188.77,150.2,38.57,25.68,8.05,6.59,1.46,22.2,183.33,150.03,33.31,22.2
PSA,PETROL,89,8.31,6.98,1.33,19.05,189.34,159.04,30.3,19.05,7.83,6.91,0.93,13.39,178.47,157.39,21.08,13.39
VOLVO,PETROL,31,8.98,7.24,1.75,24.14,204.63,164.84,39.8,24.14,8.51,7.24,1.27,17.59,193.97,164.95,29.02,17.59
OPEL AUTOMOBILE,DIESEL,6,5.34,4.83,0.52,10.73,140.63,127,13.63,10.73,5.15,4.62,0.53,11.52,135.53,121.52,14.01,11.52
SEAT,DIESEL,4,6.03,5.21,0.83,15.87,158.74,137,21.74,15.87,6.18,5.34,0.84,15.77,162.5,140.36,22.14,15.77
VOLVO,DIESEL,11,6.7,6.26,0.44,7,176.17,164.64,11.53,7,6.87,6.39,0.49,7.61,180.84,168.05,12.79,7.61
RENAULT,PETROL,3,6.94,5.38,1.56,28.88,158.09,122.67,35.42,28.88,5.67,5.29,0.38,7.15,129.24,120.62,8.62,7.15
AUTOMOBILES PEUGEOT,PETROL/ELECTRIC,1,6.48,1.36,5.11,375.84,147.51,31,116.51,375.84,6.48,1.36,5.11,375.84,147.51,31,116.51,375.84
FIAT GROUP,PETROL/ELECTRIC,1,2.93,1.98,0.96,48.51,66.83,45,21.83,48.51,2.93,1.98,0.96,48.51,66.83,45,21.83,48.51
AUTOMOBILES PEUGEOT,DIESEL,37,7.23,6.38,0.85,13.38,190.35,167.89,22.46,13.38,5.86,5.26,0.6,11.42,154.15,138.34,15.8,11.42
JAGUAR LAND ROVER LIMITED,DIESEL,1689,8.88,7.55,1.33,17.66,233.58,198.53,35.05,17.66,8.7,7.5,1.2,16.01,229,197.4,31.6,16.01
TOYOTA,DIESEL,41,10.5,9.4,1.11,11.81,276.38,247.2,29.19,11.81,10.43,9.42,1.01,10.7,274.48,247.95,26.53,10.7
AUTOMOBILES CITROEN,PETROL,6,5.7,5.43,0.27,5.05,129.91,123.67,6.24,5.05,5.86,5.41,0.45,8.36,133.44,123.15,10.29,8.36
CHRYSLER,PETROL/ELECTRIC,2,6.31,2.19,4.11,187.38,143.69,50,93.69,187.38,6.13,2.19,3.93,179.13,139.56,50,89.56,179.13
FIAT GROUP,PETROL,320,6.55,5.81,0.74,12.8,149.2,132.27,16.93,12.8,6.45,5.79,0.66,11.32,146.9,131.96,14.94,11.32
KIA,PETROL,8,6,5,1,19.98,136.78,114,22.78,19.98,6.01,5,1.01,20.23,136.96,113.91,23.05,20.23
MERCEDES-BENZ AG,PETROL,1,15.12,10.84,4.28,39.49,344.54,247,97.54,39.49,15.12,10.84,4.28,39.49,344.54,247,97.54,39.49
OPEL AUTOMOBILE,PETROL,4,8.02,6.51,1.51,23.22,182.67,148.25,34.42,23.22,7.9,6.16,1.74,28.29,180.04,140.34,39.7,28.29
AUTOMOBILES CITROEN,DIESEL,37,6.63,5.39,1.24,23.04,174.42,141.76,32.67,23.04,5.77,4.43,1.33,30.03,151.72,116.68,35.03,30.03
FORD WERKE GMBH,DIESEL,594,6.36,5.42,0.94,17.4,167.33,142.53,24.8,17.4,6.17,5.3,0.87,16.33,162.31,139.53,22.78,16.33
JAGUAR LAND ROVER LIMITED,PETROL,2,18.37,12.97,5.4,41.64,418.55,295.5,123.05,41.64,18.17,12.49,5.68,45.51,413.91,284.46,129.45,45.51
NISSAN AUTOMOTIVE EUROPE,PETROL,32,8.57,6.28,2.3,36.57,195.26,142.97,52.29,36.57,8.31,6.25,2.06,32.92,189.34,142.44,46.9,32.92
