Year,Manufacturer,Fuel Type,Number of vehicles,OBFCM Fuel consumption (l/100 km),WLTP Fuel consumption (l/100 km),absolute gap Fuel consumption (l/100 km),percentage gap Fuel consumption (%),OBFCM CO2 emissions (g/km),WLTP CO2 emissions (g/km),absolute gap CO2 emissions (g/km),percentage gap CO2 emissions (%),OBFCM Fuel consumption weighted (l/100 km),WLTP Fuel consumption weighted (l/100 km),absolute gap Fuel consumption weighted (l/100 km),percentage gap Fuel consumption weighted (%),OBFCM CO2 emissions weighted (g/km),WLTP CO2 emissions weighted (g/km),absolute gap CO2 emissions weighted (g/km),percentage gap CO2 emissions weighted (%)
2021,SEAT,DIESEL,11547,6.43,5.23,1.2,23,169.2,137.57,31.64,23,6.36,5.2,1.16,22.39,167.32,136.71,30.61,22.39
2021,OPEL AUTOMOBILE,PETROL/ELECTRIC,3316,5.3,1.36,3.94,289.21,120.83,31.04,89.78,289.21,5.52,1.36,4.16,305.07,125.7,31.03,94.67,305.07
2022,BMW GMBH,PETROL,4929,14.14,10.79,3.35,31.03,322.08,245.81,76.27,31.03,13.83,10.91,2.92,26.76,314.95,248.46,66.5,26.76
2021,FERRARI,PETROL,318,15.89,11.23,4.66,41.54,362.07,255.81,106.25,41.54,14.97,11.22,3.75,33.42,341.09,255.64,85.45,33.42
2021,GENERAL MOTORS HOLDINGS,PETROL,28,13.81,12.16,1.65,13.55,314.55,277,37.55,13.55,14.13,12.16,1.97,16.17,321.79,277,44.79,16.17
2022,AUDI HUNGARIA,PETROL,578,8.95,7.46,1.5,20.07,203.95,169.85,34.1,20.07,8.72,7.48,1.24,16.56,198.65,170.42,28.23,16.56
2021,HYUNDAI CZECH,PETROL/ELECTRIC,12,5.6,1.36,4.24,311.51,127.57,31,96.57,311.51,5.2,1.36,3.84,281.84,118.37,31,87.37,281.84
2021,AUDI SPORT,PETROL,3320,12.69,11.21,1.48,13.23,289.18,255.38,33.8,13.23,11.32,11.21,0.11,0.99,257.93,255.4,2.53,0.99
2023,MERCEDES-BENZ AG,DIESEL/ELECTRIC,8981,5.6,0.9,4.7,520.57,147.31,23.74,123.57,520.57,5.95,1.01,4.94,487.93,156.45,26.61,129.84,487.93
2021,NISSAN AUTOMOTIVE EUROPE,DIESEL,195,8.9,7.26,1.64,22.51,234.15,191.13,43.02,22.51,8.73,7.26,1.48,20.35,229.77,190.91,38.86,20.35
2021,TOYOTA MOTOR CORPORATION,PETROL,9126,4.77,4.73,0.04,0.8,108.71,107.84,0.86,0.8,4.74,4.72,0.01,0.31,107.89,107.56,0.33,0.31
2023,KIA,DIESEL,77,7.6,6.51,1.09,16.76,199.94,171.25,28.7,16.76,7.59,6.5,1.08,16.68,199.63,171.1,28.53,16.68
2022,STELLANTIS AUTO,PETROL,44729,6.7,5.54,1.16,20.87,152.6,126.25,26.35,20.87,6.61,5.57,1.05,18.83,150.67,126.79,23.87,18.83
2022,HYUNDAI CZECH,PETROL/ELECTRIC,33,6.27,1.36,4.91,361.04,142.92,31,111.92,361.04,6.29,1.36,4.93,362.07,143.24,31,112.24,362.07
2021,KIA,DIESEL,599,7.63,6.66,0.97,14.53,200.67,175.22,25.45,14.53,7.63,6.66,0.97,14.58,200.83,175.27,25.56,14.58
2022,AUTOMOBILES PEUGEOT,PETROL/ELECTRIC,7512,5.4,1.37,4.03,294.09,122.98,31.21,91.77,294.09,5.61,1.37,4.24,309.6,127.8,31.2,96.6,309.6
2023,VOLVO,DIESEL,11282,7.42,6.34,1.08,17.11,195.22,166.7,28.53,17.11,7.22,6.29,0.93,14.73,189.86,165.49,24.37,14.73
2023,GENERAL MOTORS HOLDINGS,PETROL,111,14.36,11.77,2.59,22,327.08,268.1,58.98,22,14.38,11.74,2.64,22.51,327.69,267.49,60.2,22.51
2023,BMW AG,PETROL/ELECTRIC,6,6.09,1.16,4.93,423.93,138.84,26.5,112.34,423.93,6.48,1.25,5.23,417.83,147.72,28.53,119.19,417.83
2022,ALPINE,PETROL,1523,9.67,6.78,2.88,42.48,220.19,154.55,65.65,42.48,9.69,6.78,2.91,42.86,220.67,154.47,66.2,42.86
2023,FORD WERKE GMBH,DIESEL,14968,7.57,6.68,0.89,13.25,199.04,175.76,23.29,13.25,7.46,6.56,0.9,13.74,196.3,172.58,23.72,13.74
2023,SUZUKI MOTOR CORPORATION,PETROL,1789,5.45,5.01,0.43,8.66,124.06,114.17,9.89,8.66,5.33,5.01,0.32,6.42,121.4,114.08,7.33,6.42
2023,AUDI HUNGARIA,PETROL,203,9.15,7.46,1.7,22.76,208.52,169.86,38.66,22.76,8.84,7.47,1.38,18.45,201.44,170.07,31.38,18.45
2022,RENAULT TRUCKS,DIESEL,7,9.12,7.35,1.77,24.07,239.82,193.29,46.53,24.07,8.99,7.35,1.64,22.3,236.54,193.41,43.13,22.3
2023,SKODA,DIESEL,19064,6.57,5.54,1.03,18.62,172.98,145.83,27.15,18.62,6.47,5.48,0.99,17.99,170.2,144.26,25.95,17.99
2023,PORSCHE,PETROL/ELECTRIC,961,10.55,2.79,7.76,278.1,240.44,63.59,176.85,278.1,10.92,3.11,7.81,251.4,248.84,70.81,178.02,251.4
2023,HYUNDAI ASSAN,PETROL,14,6.24,5.39,0.85,15.73,142.09,122.79,19.31,15.73,6.62,5.52,1.1,19.9,150.79,125.76,25.03,19.9
2023,HYUNDAI,DIESEL,2,9.8,8.63,1.18,13.62,257.92,227,30.92,13.62,10.88,8.69,2.18,25.13,286.14,228.67,57.47,25.13
2021,FORD MOTOR COMPANY,DIESEL,1,9.12,7.83,1.29,16.49,239.96,206,33.96,16.49,9.12,7.83,1.29,16.49,239.96,206,33.96,16.49
2021,PSA,DIESEL,50266,5.37,4.65,0.72,15.55,141.3,122.29,19.01,15.55,5.37,4.65,0.72,15.52,141.35,122.35,18.99,15.52
2021,AUTOMOBILES CITROEN,PETROL,15079,6.44,5.6,0.84,15.09,146.72,127.48,19.23,15.09,6.36,5.62,0.75,13.3,144.98,127.96,17.02,13.3
2022,AUTOMOBILES CITROEN,PETROL,12520,6.51,5.62,0.89,15.84,148.32,128.04,20.28,15.84,6.39,5.62,0.76,13.57,145.52,128.14,17.38,13.57
2022,NISSAN AUTOMOTIVE EUROPE,DIESEL,110,8.51,7.22,1.28,17.75,223.79,190.05,33.73,17.75,8.15,7.22,0.93,12.88,214.37,189.91,24.47,12.88
2021,BMW AG,DIESEL,144060,6.79,5.58,1.22,21.82,178.73,146.72,32.02,21.82,6.77,5.57,1.2,21.53,178.06,146.52,31.54,21.53
2023,CHRYSLER,DIESEL,1099,5.97,5.09,0.88,17.27,157.07,133.94,23.13,17.27,5.81,5.09,0.73,14.27,152.94,133.84,19.1,14.27
2022,VOLVO,PETROL/ELECTRIC,62989,5.97,1.49,4.48,301.15,136.01,33.91,102.11,301.15,6.17,1.44,4.73,327.56,140.59,32.88,107.7,327.56
2023,KIA SLOVAKIA,PETROL/ELECTRIC,819,5.11,1.22,3.9,319.59,116.5,27.76,88.73,319.59,5.19,1.22,3.97,325.16,118.2,27.8,90.4,325.16
2022,SKODA,DIESEL,74715,6.27,5.24,1.03,19.7,164.96,137.8,27.15,19.7,6.18,5.19,0.99,19.02,162.53,136.56,25.97,19.02
2022,CHRYSLER,DIESEL,6176,6.01,5.05,0.96,18.96,158.03,132.84,25.19,18.96,5.92,5.05,0.88,17.33,155.87,132.84,23.03,17.33
2022,MERCEDES-BENZ AG,DIESEL,125656,7.27,6.2,1.08,17.35,191.4,163.1,28.3,17.35,7.21,6.2,1.01,16.37,189.75,163.06,26.69,16.37
2021,HONDA MOTOR CO,PETROL,8546,5.51,5.32,0.2,3.71,125.61,121.12,4.49,3.71,5.71,5.55,0.16,2.82,130.08,126.5,3.57,2.82
2023,VOLVO,PETROL/ELECTRIC,18809,6.11,1.27,4.84,379.29,139.21,29.04,110.16,379.29,6.34,1.26,5.08,403.25,144.5,28.71,115.79,403.25
2023,JAGUAR LAND ROVER LIMITED,PETROL,4018,13.39,10.81,2.57,23.8,304.92,246.29,58.62,23.8,12.96,10.65,2.31,21.67,295.31,242.71,52.6,21.67
2023,JAGUAR LAND ROVER LIMITED,DIESEL,13706,9.18,7.56,1.63,21.55,241.61,198.78,42.83,21.55,9.08,7.57,1.5,19.87,238.82,199.24,39.58,19.87
2021,PSA,PETROL,48501,6.7,5.58,1.12,20,152.54,127.12,25.42,20,6.64,5.6,1.04,18.57,151.34,127.64,23.7,18.57
2021,KIA SLOVAKIA,PETROL,15260,7.49,6.44,1.05,16.31,170.66,146.74,23.93,16.31,7.34,6.37,0.97,15.27,167.23,145.08,22.15,15.27
2021,PORSCHE,PETROL,12549,12.59,10.94,1.65,15.12,286.85,249.18,37.67,15.12,12.3,10.96,1.34,12.25,280.18,249.59,30.59,12.25
2021,SAIC MOTOR CORPORATION,PETROL/ELECTRIC,1485,6.44,1.8,4.64,258.01,146.78,41,105.78,258.01,6.48,1.8,4.68,259.92,147.57,41,106.57,259.92
2021,BMW AG,PETROL,83213,8.29,6.71,1.58,23.5,188.91,152.96,35.95,23.5,8.28,6.82,1.46,21.48,188.72,155.35,33.36,21.48
